1.126841431794860959e+01,2.253380645136771451e-07,1.530768898093430872e-07,1.402808301521845330e-07,1.549833608968840534e-07,1.171764436280426228e-08,2.389588091249919978e-08,6.176730183079029435e-06,1.051013193033052021e-07,1.568591613478915127e-05,4.330584604398956557e-08,9.811666555468467164e-06,2.441061569666965333e-07,1.876440449184443992e-06,2.543869228104548092e-06,9.128769196859393506e-07,2.127546894693893735e-05,3.609086147361474837e-06,4.625213399542903753e-07,7.863178704829799416e-05,3.656665976454154809e-01,3.051473098253383763e-05,3.880225802099952352e-06,1.848229316868246817e-04,1.735831008903441748e-03,1.506802952293042644e-05,9.089041944983444310e+00,9.671297788217329925e-05,3.542351997207564574e-06,1.137476645165645846e-04,2.518132229396986868e-07,1.481998534956894641e-07,9.498038672203804433e-07,2.695298503942101408e-06,2.613950761701250423e-08,3.930690843170254511e-07,5.344457485207750788e-07,1.431472512121769774e-07,1.238352469537332597e-05,3.967509237218770896e-06,9.195277384612178528e-02,1.016350029186570275e-01,4.224859800134808552e+00,3.345809412908264373e-04,1.062461708287269158e+00,5.890122023950210761e-04,1.151548528988399620e-05,1.301717914253923177e-05,2.128302678254124912e-06,3.883716470385461649e-03,8.869699861266076013e+00
1.590618068347160908e-05,6.705590097688071209e-08,1.513234049355113192e-06,8.990367432964757984e-07,3.370464415924436665e-07,1.569536095491319059e-06,6.898856069565540305e-07,8.085019822514433815e-08,2.058858576235082530e-06,2.055921097724321655e-07,5.221605541510224901e-07,1.361789465309914147e-06,1.031418922295686502e-04,1.435015705410979253e-06,1.694038005989826089e-06,4.597778825434573405e-03,1.042817035779365028e-06,1.142658574263513650e-03,8.672648858287186494e-07,1.220841049650970402e-06,6.340078770792470841e+00,8.767992027021315475e-05,1.029372776416917253e-05,2.499045236103879426e-05,1.131149353999213319e-03,2.095673572939460379e-05,9.158369608772170878e+00,3.731522850780844783e-04,1.423797662972542074e-04,3.105567439738068626e-05,1.262277889539022826e-07,3.576970642955059455e-05,2.314618449639233727e-05,6.100309716102589188e-06,1.938593195879897342e-06,3.029019082175570984e-06,6.042881390149436759e-06,3.677574258154705230e-06,7.544904761818931970e-06,2.349307703887805419e-05,2.414287914292942774e-03,8.796262575082234442e-03,4.021011152242476072e+00,1.716287842583929862e-04,6.113369486651810014e+00,1.824830544603934807e-03,1.896495682038817251e-05,4.211240755238730460e-06,1.164348988105040096e-02,5.723839787046947460e-04,1.192835255469290345e+01
1.112973137900290332e+01,6.422356688125903958e-06,2.709357697909905681e-07,5.578285294313725558e-08,1.200391635925459323e-06,3.057915162549565804e-07,3.172739774550088495e-07,1.968572286343887898e-06,2.957277777043856618e-07,1.094769626688789639e-06,5.544887369643040813e-08,2.926482368590913846e-07,1.031466185572586903e-06,1.219698540341861168e-06,1.142385285781894152e-06,1.405865303665641079e-05,2.171087955501701732e-06,3.511445032245898686e-07,7.304410472674874536e-07,2.996751156709740873e-07,6.200229703897202072e+00,7.801659106927287499e-06,1.205222784033875111e-05,9.449223687263922912e-06,2.595209181501130762e-03,3.623292423348294167e-07,1.061297109981583198e+01,3.966468842755075983e-06,2.893143860595307946e-04,1.146504725094599393e-05,7.892469576044172763e-07,1.160535981456656182e-07,5.660376190071083293e-06,1.091372108882231531e-04,1.171465260871696275e-07,6.207814540663254436e-08,3.990468608898441710e-06,8.864338625267068788e-05,1.113037489893226350e-05,6.096054191442285578e-07,3.821481617278133392e-04,6.257544700320811408e-04,9.077021826685437167e-02,6.805307428669885635e-05,2.070534650325935200e+00,3.960179708764366945e-03,1.518959180987725259e-06,3.261066007211676452e-05,7.479333285924512795e-06,6.389590939175033846e+00,1.088445122918993313e+01
7.829118762362970330e+00,4.305192651437630379e-07,3.363252357241229819e-07,2.345777474386014025e-08,3.182501522472414559e-07,6.388813751245031749e-07,3.035878173060444418e-07,5.842312745283116018e-07,2.971513664862243503e-07,1.308936761164053470e-06,4.820350815353787060e-07,2.598926646841018274e-06,2.285707307281546045e-06,3.362923143097498693e-07,3.135122218150744525e-06,1.619540372111036101e-07,1.724747302684995587e-06,3.312462475012028908e-07,1.545258838937761003e-06,3.111978669164406170e-06,9.355224958718245887e+00,2.610677430522043687e-06,3.531697191881261629e-06,6.860512121827653712e-06,1.789730649202493282e-06,6.925743192100463410e-07,1.089322908407309320e+01,1.360864697699227683e-05,2.547758401566500332e-04,9.834399639661181515e-06,1.484467579711698427e-06,3.515514522059767284e-07,1.055188161828525079e-06,7.200854912511847485e-06,4.214618983814375903e-07,2.840494564854155679e-07,6.196495536244271165e-07,2.024940283710332072e-05,4.144461834829755299e-06,2.075505520736466213e-04,4.129163633820046508e-04,2.330828549263397255e-04,6.970456499224739980e-04,1.725052037868504411e-05,5.568161655187342518e-01,2.079923451267131750e-04,1.431488031727825203e-06,1.852903268730882446e-05,5.240755151733947608e-06,9.939562854566875256e-05,1.258830548179463982e+01
4.560097230353892250e+00,3.332193062150015648e-07,3.714455633909657975e-07,1.036013353544234932e-07,4.421080824916189917e-07,1.444100831014448917e-07,1.166956033224236380e-06,3.265132074495534360e-07,9.675434840084883611e-07,4.322624260057290594e-07,1.706126425756480566e-06,6.964657124140691431e-07,6.833829873014551131e-07,2.827792594285020106e-07,3.729631929859639691e-06,4.059821490686288327e-07,1.108004651800486047e-05,9.574277101066709575e-07,2.295730433178711736e-06,1.992671894202990920e-06,5.264605572204946071e+00,1.944489934681661082e-06,4.409952750816746479e-06,1.582342644977245392e-06,2.660017182793488239e-05,5.505906510035740965e-07,9.367061700373152888e+00,1.719382954926065995e-06,7.046601747582311533e-06,5.439419424966771338e-06,2.915919885797297218e-07,1.682619748166078862e-06,1.225130903373799690e-05,1.177450807895936684e-05,3.057797974028363618e-04,2.053403151485878321e-08,3.072046726607449538e-06,7.758852026871981909e-05,7.640398605428845648e-06,3.676338979417186919e-06,1.804717791630127153e-05,2.336503836508281278e-05,6.100611421140747559e-07,2.812147211183651163e-04,4.285350401041363444e-01,8.515677435830098499e-04,9.504631220039821118e-08,9.341197370118799775e-06,3.561645509028166533e-06,7.996326574120916875e-05,1.943183960207826644e+01
9.950054445575787554e+00,7.951966967972194748e-07,3.036471911657537835e-08,9.175512897969549015e-08,4.811733809597586252e-08,1.453817816624194404e-07,1.589884398999551737e-08,3.184320358191482489e-07,3.963320221309490755e-08,2.262484980047017561e-07,2.315701124058972992e-07,5.200087404825104567e-07,8.489223094721727649e-07,7.875122318768179165e-08,2.959888952143100684e-06,3.770519909015450468e-07,1.944403884396493239e-05,7.685086535396395836e-07,2.675142160247343002e-07,2.216063959720568461e-06,5.886451279846991014e+00,1.649936437291491786e-06,1.328302273336015789e-06,9.236815002966290968e-07,2.150862179009801595e-06,1.033564788234058394e-06,8.606957209001318887e+00,1.178198564148314717e-04,3.983023708954306968e-06,2.526965740178348390e-05,6.822014881978199974e-07,2.700073996760944013e-07,1.041608866556612883e-05,2.060155257034614524e-07,7.759537407221635331e-06,1.175791260380079208e-07,8.087247427736993239e-07,1.015744434944213149e-06,1.345423936985360391e-04,9.902114608578257613e-07,2.303961962119252147e-04,3.263796618225513928e-05,3.567353498369924968e-04,2.817769502747046167e-03,5.552131622166299962e+00,4.742766583257306934e+00,2.957186585733749675e-06,1.721941635685434737e-05,2.692013147020101531e-06,1.658005483302771982e-04,6.812564552751639191e+00
4.360397120899907719e+00,1.421111782274805867e-05,7.693390070966400305e-08,7.671160945131044702e-08,9.179664900213079938e-08,2.556533559407271695e-08,2.075688831240366161e-07,6.392942868021587684e-08,4.166417499462621909e-08,5.490542909373830474e-07,7.110299568185129847e-08,5.957563019810336897e-08,2.335468682861514376e-07,1.026483810144438991e-06,6.592863314129687441e-08,4.807236393628930397e-08,1.246176909850841436e-06,6.725043868707864463e-07,4.257528404046429279e-07,6.958264007815323768e-06,7.492813268702954055e+00,4.306565794097552565e-06,9.508258318787044250e-07,1.471049842116420221e-07,9.998345188681244956e-07,4.923585736305594977e-07,1.124689192841161045e+01,1.169109951370876498e-05,1.140476769517537889e-05,4.499903624888928718e-05,1.815540562645647890e-07,3.173248136228710753e-05,1.381288174775137528e-06,2.018963272531012821e-06,5.392476166516636290e-07,3.136071002789999762e-07,1.190102223902552317e-06,3.347605662690510719e-07,6.839639111160561042e-07,4.455140526758217908e-06,4.534865182501514672e-05,1.139195488190129860e-05,3.426751875476303966e-06,2.400510683820799356e-05,3.198424794687522610e+00,1.475462929334055108e-03,4.770750763023203127e-06,1.583485220882390774e-06,4.224355807033240160e-06,5.882978032754353128e-04,7.041821171507482546e+00
6.524759848664467121e+00,2.023306523714272779e-07,3.316938748518312496e-06,1.738951617929550136e-07,7.420790324981684726e-08,7.974000042889258977e-07,7.039743053431813501e-07,1.204798025554009123e-06,9.525096136996934948e-07,1.704881079651237947e-07,4.828176410998598879e-07,4.623651485334710436e-07,4.876001309149231082e-07,2.879561118726207632e-06,1.468864869138506899e-07,1.040365717866931517e-06,4.483953745912540569e-07,3.442846703772928893e-07,9.563086983086508189e-07,1.167222053316377178e-05,3.637606821090143772e+00,2.180288920296971178e-06,3.557095545586660143e-06,5.858857376936021867e-05,5.018429824362467073e-07,8.791851754654811266e-07,3.591308178241674032e+00,1.466316248191421983e-05,7.419851561141264598e-06,2.402464975404225951e-05,5.803736342410757537e-06,4.908308955543940312e-05,4.528423722600429465e-06,1.971003555490887925e-06,1.657199409099845931e-07,3.037999632895169520e-07,4.131366040925075263e-05,6.929783691162941710e-08,7.314420981474248741e-05,1.667388742451515003e-05,2.778574784257871102e-06,1.266011998835652994e-06,2.286558141712996695e-06,5.870115665598390974e-06,1.290166954138095845e-02,5.074331441962780936e-02,3.132106331319535488e-07,2.925340103438878842e-05,1.828974475245145343e-06,6.491113556890457483e-05,6.095718688306896560e+00
4.026672513994905778e+00,1.646341214580823429e-06,2.944899527357914451e-07,1.295328056610954841e-07,8.934220950598764332e-07,8.154160335990316410e-07,2.494147153513767410e-08,8.855868141339583279e-07,1.525255505249615409e-06,4.334541701385239197e-07,7.384714799197812052e-07,3.090988869735882630e-07,2.259610320988545569e-06,1.533127034879652191e-06,5.860034164598563543e-08,1.316412928099018088e-05,2.040389124180025078e-05,4.667168162137167131e-07,1.576766177543923483e-07,2.148613846659521130e-06,1.706496705652262413e+00,2.496771125707656636e-01,8.520071978139181021e-07,7.521847020080777954e-07,8.325562149566426371e-06,1.035535786128621887e-04,4.708982792585653776e+00,1.314087535801093310e-05,2.925970413448089274e-07,2.350142909134679537e-05,1.628838085201561397e-06,2.702205886082998754e-06,2.301585925449911072e-06,4.157717226671600181e-06,8.086380223149230404e-06,3.460246049820306086e-06,8.798852270258330246e-06,3.422129167343734574e-08,2.430833408230161617e-05,6.254687913924792378e-06,1.865638711149744736e-06,4.395722199737881595e-06,1.577732872084514884e-05,4.965121907227145506e-05,2.447922966726973158e-03,1.134712879296528198e+00,1.425373694742567756e-06,2.432162845799396647e-06,9.620248587604937363e-06,4.359552089586748763e-05,2.387628931418681155e+00
4.867575578640218836e+00,2.130763668677650837e-06,5.633035846668661269e-07,2.974950164433946791e-06,5.756079826405743731e-07,9.585780763446641717e-07,4.573726912320816206e-07,6.047971229956470534e-07,1.971317110605083172e-06,4.138487658068759458e-07,3.440003393783030415e-07,1.654105059503154356e-07,1.261225562413728064e-05,7.376471762663204215e-06,6.696590142065319367e-06,1.001333868717982696e-07,8.138053231515519841e-06,9.005466888963887666e-07,9.130379715275657630e-07,3.277521673419501448e-07,9.654085129991267777e+00,4.178539866457752655e-05,3.424542587222577811e-05,3.836230643234717162e-06,2.074657356437136630e-05,1.143527579696999516e-02,7.446262326611693183e+00,8.851642626199684126e-05,5.903679503804011070e-05,5.219826779592727506e-04,8.505707965167779788e-07,3.419471120392132943e-06,6.143220638122080754e-06,1.141768987628599145e-05,2.124507884470049033e-06,6.456167349023168204e-06,2.889674191619620400e-06,1.118464830992768598e-05,1.144862108736684733e-05,8.519871204580901645e-06,1.647181037917407846e-06,1.002822203140217289e-05,3.571082346818367861e-05,5.412267916529174940e-05,1.729927836839219963e-04,1.695418874926467367e+00,1.100614563956228003e-07,2.202264632797284686e-06,8.040631243260099762e-07,3.646696348891207291e-05,1.545907412054099872e+01
