6.275517091663282638e-04,9.098836228652664875e-06,5.349785764962389129e-06,7.563438561176170710e-05,1.302126396034189371e-05,1.693293170543440059e-04,1.488274194143761981e-05,3.185290092250722043e-06,1.248433129779475786e-05,8.337672995221013977e-06,1.578628275796048960e-05,3.513135413366342262e-04,6.023340289485648553e-05,9.190052589130222891e-04,3.746731663959800507e+00,6.973888361934683748e-04,1.494288354824261367e-01,1.191232237812716482e-04,2.888085488825636524e-03,1.712578547334678855e-03,1.237972297438313940e-02,1.017212199945920909e-03,5.580851529945101211e-03,2.316406636654557219e-03,1.088195220798417011e-03,2.413086519471069114e+00,4.456160175602013099e-05,5.382598775314379071e-05,7.092108933337096808e-04,1.095751098535090520e-03,5.024027134197210989e-03,1.122735891984728163e+01
1.434576006932775094e+00,5.239570746579612619e-04,1.394481526754742296e-04,3.683209030073502477e-05,1.986992644189684268e-04,7.365897431853694237e-04,6.496585274840332926e-05,4.879065915013853344e-04,2.286934396560806398e-04,3.009379967190180661e-04,3.908957083453082348e-04,3.009025855303613115e-04,1.056819403495303216e-03,1.502500213486628261e-03,3.027373352094651048e-03,2.171758797923730323e-03,5.274853165801034714e-03,4.730086707121811834e-04,1.136311097001966908e-04,9.538971413574075416e-05,1.894005147577600134e-01,1.525101872707254925e-05,4.040492838910842181e-04,1.225063090568827967e-04,2.585156402962131999e-04,5.718791083312367400e-04,3.826250541036944420e-04,4.549146674990655714e-04,2.106299748769307741e-04,1.114819919150682425e-04,2.064513345544000122e-02,1.566782395782256998e+01
8.964420544327081686e+00,1.390271374664714833e-04,1.413485362473962524e-06,5.168787329155547237e-05,5.557668707517590586e-05,8.721822576393836420e-05,2.626347691734698303e-05,1.059531388869388219e-04,3.625251355414864032e-05,1.003538517037239384e-04,2.277247554085005401e-04,5.383460166250498056e-05,3.227999713965213236e-05,4.773151832733351540e-05,1.765077075455013045e+01,1.163356007634248099e-04,2.422226026353687875e-02,1.528073713391056804e-04,3.010116544085909103e-04,2.401236809398968265e-05,3.571978701117755391e-03,1.930279408829172524e-04,2.052293269584580526e-03,1.132655611314914912e-03,3.353769858790178228e-04,8.902349389325922568e-03,1.743584144144815721e-04,2.328822623513433787e-04,6.157667905237663606e-04,2.989895977893951805e-04,2.884452743227559207e-02,1.852235125654824088e+01
6.671491887756973327e+00,2.898326433886917692e-05,1.911310527247769405e-05,2.865373753982259573e-05,7.608007407048028589e-06,4.531206770815036824e-06,2.268166272127228786e-05,3.771824620376412279e-05,3.675551622226115242e-04,1.963277804719800053e-04,3.469856705866122934e-06,1.827374699315980182e-05,1.068552807556406929e-04,3.581769597181376914e-05,1.662748854265791703e-03,5.763244699176751999e-05,1.326953752871202694e-02,5.911078812504598707e-05,1.071614248123483568e-04,4.979924322549345896e-05,1.282934412319044690e-02,5.061202680251515921e-05,1.876680507459773349e-03,3.211376413055085197e-04,2.537601045851962532e-04,6.546752425794569175e-03,2.554139840906474203e-04,8.611866961492751658e-04,8.647312795268165004e-05,2.039243618349423197e-04,1.310951951237797385e-03,1.299223298126621984e+01
4.037304154866615313e+00,2.090419093987193398e-04,1.495465417341997570e-05,4.561462868279413146e-06,7.887312918410968018e-06,2.933317089359407755e-05,6.506758560655222896e-06,1.671835491596723820e-04,6.497671570815395902e-06,6.714940311457369415e-05,7.805417952725843787e-05,5.526540166869800021e-04,7.518618520048292811e-05,4.704184346745683199e-04,1.022832311135835190e-03,4.896668451955355590e-04,1.325251529587479216e-01,1.636427058543937091e-05,5.127442870455878668e-03,3.528312343266225694e-04,5.323289614281754949e-03,6.194673675245814708e-05,1.438488759087469234e-03,2.955422728997590350e-04,6.125785221947826565e-04,2.344263960470974878e-02,4.338719472674583958e-05,8.286108387445880212e-05,1.060085490030228741e-03,3.380475337290495203e-04,1.694161029022873688e-01,8.551722025036498920e+00
6.718616186017176695e+00,1.205073254014467582e-04,1.139381115576879521e-04,3.393762555161345616e-06,7.016077021483192502e-06,1.482808426406512587e-06,6.017512950684420571e-06,3.762844729965167936e-07,1.023382152614668801e-05,4.680531657672308129e-06,6.180461932385652330e-06,5.136987253456457093e-06,2.639453962041629851e-05,8.158206885914971143e-05,2.803006409380182995e-04,3.524509532076273554e-03,7.458465919948096060e-03,2.646512397403223641e-06,3.087372191407388214e-04,1.190524191463362351e-04,9.115210153813972302e-03,2.984830659214940342e-05,5.970939069784180799e-04,6.477090880596621031e-04,5.494480195321546634e-04,7.680239001252148721e-04,4.921394434955852392e-05,5.302435553478638446e-04,2.519920208833437559e-04,2.265499734000415489e-04,8.317033280959686081e+00,1.257413169652846108e+01
7.114952146332126359e-01,2.635522321812987370e-05,3.772270688739348470e-05,4.429034573961349593e-06,2.102331387426742957e-05,1.258268493320835328e-05,1.908008587820167478e-04,1.073565517074180963e-06,1.948852134465447968e-05,5.784979477777420725e-05,6.693924984922212603e-05,8.386862023193774986e-06,4.411353351776335700e-05,5.234417005064996543e-05,8.099665895461089426e-04,1.314605343275562592e-04,1.827121035815017225e-01,4.666272962335853809e-05,1.438200384210394775e-04,4.299871879246082223e-04,1.771009771776587208e-02,1.850969875453154994e-05,3.414166568792983904e-04,7.411802446579741389e-05,8.632420657867236296e-05,7.476051256943326909e-03,5.891484269193007648e-05,8.597385475395597404e-06,3.487685335529572468e-04,8.374356205520620822e-04,1.085888790743654020e-02,1.819022202908863406e+01
5.941779456265364523e+00,1.129982197781455198e-05,2.974670406380892511e-05,3.855592216895593891e-06,2.658736685201965985e-05,1.629202576751477921e-05,2.832350218374963510e-05,1.367421249251490282e-04,3.342757786137832555e-06,2.907302039832970061e-06,2.891416988555057209e-04,6.622646121421303341e-05,5.380513147288522487e-04,7.858756556283936028e-06,4.748364327280093144e-04,5.338927697040891517e-05,6.984126638658606258e-03,8.314450222904904092e-04,7.062448812491487968e-03,5.127882326810391739e-04,4.311395054385441239e-01,1.851240456567307055e-03,1.453372491816231271e-03,1.870979391252256387e-04,3.452200710436721030e-05,1.825734168738567037e-03,9.948399974372985476e-05,1.264583867427503474e-04,4.415075409248607301e-04,9.496132837812866403e-04,6.574934937321675298e-03,1.380748222893381438e+01
3.694591643936635972e+00,1.918534967574880303e-04,1.028411006407733031e-05,6.488038079990010555e-05,6.438007520930221945e-06,8.325232367565487375e-06,2.127273914014774769e-05,5.405046003655932863e-05,4.405630039774698054e-05,3.338520255706462690e-05,9.152231997527261216e-06,1.433821745827268596e-04,4.135978902160437480e-05,6.455334604628249341e-05,1.816572217402701766e-03,4.681759613329328505e-05,1.497652269507497406e-03,4.664951314672075342e-05,2.909748216777141225e-02,1.383679864775082026e-05,2.290353709668175586e-01,5.630121641728735204e-05,5.229971338117949580e-04,2.415734796914088676e-05,1.323178929274351854e-04,2.272863615037281487e-03,2.023700176895646115e-05,3.476882918598622556e-04,1.077199433501929541e-04,2.210329791738835435e-04,1.856794396088496139e-03,1.535305368705846085e+01
6.994355485856304178e+00,4.052075622563223230e-04,1.369767568183837408e-05,2.929944214451355247e-05,6.564789284046274158e-06,1.607960147335200986e-05,1.141049068052574878e-04,1.556140923645389683e-04,3.947568980154781543e-06,3.957903733679146328e-04,2.140240094918394867e-05,4.117066099896340314e-05,4.190547064418460236e-04,1.333171785354912524e-04,3.773015761445184038e-04,2.866358064424816233e-04,1.388925751450815517e-02,3.539204502258850291e-04,3.792687372867571606e-05,1.673803745273018395e-03,4.375394105707183789e-02,3.426439006153660788e-03,1.301094038634040338e-04,2.389233466945370275e-04,2.271136461035270970e-05,1.309990508322683451e-03,5.557706254778798711e-06,4.218269930222213462e-04,1.932203389077868406e-04,1.556112078947048400e-04,1.485728643651260290e-02,1.579748726285083293e+01
9.920772033992079908e-02,2.001289501287335706e-03,2.532358840585233989e-05,2.887349284348511458e-05,1.700597803876073941e-06,3.190307689894631136e-06,1.724619091757879130e-05,1.703033954658386099e-04,1.035079473700257135e-04,2.564798269229983125e-05,4.995244948420465673e-05,2.590343472549462068e-04,4.484587239539736546e-05,9.433505446530640766e-06,9.978832440869387851e-04,3.359867111006523523e-04,4.545353871664222921e-04,6.781035519677930010e-05,5.570147840375697752e-04,6.840520430173983348e-04,2.969608459747478252e-03,1.715759520976092314e-04,3.602001577817183010e-05,3.391760906365290503e-04,3.369801711206418153e-05,5.710237804772781136e-04,5.913808245003798281e-04,3.115156585261546151e-04,6.380029443761050210e-05,7.378602460829061273e-05,4.354131567710718513e-03,1.934896596301812721e+01
7.572598752709254200e+00,6.028601603906098423e-06,2.025256669887357300e-05,8.795280392911823675e-06,1.849226379417811227e-04,1.057432068567682940e-05,7.650885990696254264e-04,6.336014025200698883e-06,1.213673170922859463e-05,3.273234052006553335e-04,9.891154699234718450e-05,1.108319852677973786e-05,3.649480339355175800e-05,4.637025176674497320e-04,2.078503539746486754e-04,8.255503441141359038e-05,7.696530327303032480e-05,1.284581824509466261e-04,9.546856814320175142e-04,2.977340809180583411e-03,1.525035166512775930e+00,2.660623476184120761e-03,2.525443281762173480e-05,1.565899427081937352e-04,2.494198096904460572e-04,1.884951249380487884e-04,1.237661103990499623e-04,2.395430303276786105e-03,1.462028803387215310e-05,1.555062125182449503e-05,8.077553593189009751e-04,1.386043892795853338e+01
6.710762366572914708e-04,3.041254955203942273e-04,6.180657695106712944e-06,3.970744918535782689e-06,1.070692523481276651e-04,8.340781345135652228e-05,2.114613126785146180e-04,2.220323808791981263e-05,1.002029560088052012e-05,1.097911568979686227e-04,9.688392795928164132e-05,4.414533604478135541e-05,2.466641145174041944e-05,2.765879762630209585e-05,2.304067639637049627e-05,5.281969772707048675e-05,6.052000987623133292e-05,9.295933246607321516e-05,7.750212145096903706e-05,1.000316741697436767e-03,5.277786221490894381e-01,1.573854806789221875e-04,5.791564547937130478e-04,2.560706940405585376e-04,1.182837699787741865e-04,7.167065088400488776e-04,1.008711923214206505e-05,1.384339391724377980e-04,1.193767613640368971e-04,8.907687837535055566e-06,4.637711672055306461e-03,1.715805029880254295e+01
