1.513789571882266833e-04,2.263102651256177403e-07,1.029756338759232225e-05,7.609998093273493292e-04,6.992485884837787166e-06,2.392374003388315468e-06,4.131196603474212243e-06,5.978426914914551024e-06,1.474422155473698119e-06,1.861919469581641979e-06,1.895861755673912751e-06,8.073679589869234378e-06,1.506214710753591272e-05,9.098809136915323419e-06,9.467604341427649298e-03,3.357297954770343379e-04,6.727563112530934430e-05,3.312047848247096601e-06,4.425662262536988155e-03,2.734947174293235819e-03,2.468723188519981182e+00,1.362448637271685485e-05,3.313263786153914855e-05,1.583168607839021444e-04,1.663712211358624800e-05,6.359377626069181444e-01,2.287080360438671162e-05,1.687018461561817529e-05,5.227131381785131477e-06,1.127708068657493846e-05,1.826395212381911562e-05,8.319926610497967445e-01,1.598048218748177257e-03,8.590161785426471549e-05,1.198919959692128057e+00,3.928596150457384528e+00,4.178991096912723080e+00,2.580677770651383327e-06,9.593283119472471821e-04,5.560515652966394271e-06,8.524496921880437769e-03,9.054309043366751131e-03,8.084615037874620214e+00
4.695463875428616155e-06,4.140605466920364118e-07,1.104417067664149786e-06,1.874358917065862052e-05,1.631100585712786071e-04,1.433836622742157979e-02,2.907149749974225557e-04,1.150765585241442999e-04,3.663187040721163634e-02,9.970572131673417986e-07,1.405989549504262918e-06,4.013352803496430827e-04,1.137053266481320047e-05,1.507465952682729093e-05,2.774176552984470787e-02,8.384343866969736934e-04,3.530000226816799435e-03,4.509020161486127615e-04,2.590216975189646442e-01,1.978480066598188244e-03,3.048619702400828135e+00,1.972518917430733442e-05,2.188798027124535709e-05,1.250916336513035998e-04,5.302444275671819643e-05,8.552291611381539482e-01,1.937171016601013868e-04,2.772312700676751485e-05,2.104496039370066978e-05,1.626087573621086413e-01,5.830209298961240761e-05,3.413313070869267163e-02,2.357551904357738870e+00,1.211518530533124173e-02,5.525458582138511162e-05,7.590230980772139979e+00,2.865673501952392233e+00,2.325878035650173704e-04,6.202816734138443878e-05,3.458740211149565569e-06,3.393820591854878612e-05,6.053263457666878053e-03,4.975340956117694446e+00
3.274754851602135761e-05,3.661450613655027251e-05,6.561288780391439051e-06,3.144154828870257682e-07,1.247729566189453137e-06,8.587442884214783692e-07,1.039876779644393160e-06,4.196516157830656018e-06,4.231049538871920195e-06,5.211478242839703064e-04,1.782655595781994120e-04,4.268882552728521691e-04,2.583600858019084991e-05,1.548345741210944106e-05,1.129519118979976644e-01,5.458058262862903760e-04,1.380708496672074530e-04,1.354093144553333719e-04,6.470863091127238009e-02,4.983143596280035538e-03,2.470773734936200672e+00,4.305487289047209358e-05,1.749031278507118313e-05,9.917408334480332124e-06,5.534656415195361566e-05,1.604903003558427466e-01,8.173846040866419548e-06,1.787453029877655571e-05,8.679557976927114728e-06,3.559852460857984568e-02,5.126966359403708779e-05,1.209763470353487566e-02,2.831543608959110475e-02,5.885482045474507151e-01,3.407945079250046094e-03,3.968029290676788889e+00,2.943885893119962294e+00,1.356919405269255325e-04,3.370771230504674782e-05,4.552835955577301169e-06,7.551289515478801676e-06,1.690444824181810350e-04,5.931938863039392551e+00
1.352051199753074329e+01,1.206987282173275708e-03,1.717100193861255861e-05,7.588917742560617727e-06,2.641227537283700616e-06,8.069794003766536193e-07,5.863868793408645401e-07,1.719530127277089494e-07,6.401201328189933969e-05,7.914725393781076084e-06,3.608569220884644389e-06,6.526413332192168961e-05,1.576013972392549561e-05,3.954856996533824192e-06,5.347101502163438373e-03,1.989631352403683877e-03,1.007682470969649696e-06,2.408119836253132349e-04,4.044056704442258732e-01,1.475284859657700574e-05,3.515336011921167625e+00,3.444213350765896179e-05,4.415200267566172815e-05,7.216454950644121333e-05,5.716922443526894777e-06,8.694476112206125928e-03,1.490769335331490518e-05,1.119857061341198141e-05,7.729686357141702933e-06,1.827677196638189826e-04,3.239687764299554979e-05,4.433858767280897287e-04,3.054112216472290066e-04,2.201438405969716516e+00,1.151496505495529649e-01,5.015817107138512476e+00,2.455710323262569883e+00,6.365311537021982888e-05,3.897255650414513991e-04,1.295127106057795984e-05,3.131593702089967876e-04,7.676157490642598674e-04,1.924498102163142432e+00
1.261756961521519216e+01,5.484134497013195403e-05,2.837905642298902049e-04,8.946736791817337664e-04,8.196838127939705615e-04,2.083410786365843485e-03,3.578529098328527176e-03,7.133442666151468227e-04,6.469325904517414473e-05,2.254929671339304920e-05,1.311151033710880845e-05,2.171945539391003063e-05,8.636947359060851489e-06,2.549691302522743164e-05,7.583195788125090186e-04,1.703988847882201979e-03,7.290057051016296955e-06,1.621831315946612836e-05,1.466328683413995471e-01,1.341670658449919799e-04,2.216900196457592287e+00,1.366564404179988885e-05,3.606287603509554735e-05,4.558450791345162247e-05,4.178081615405648418e-05,3.764993729336681659e-03,3.941737530218912566e-05,4.757562769035211933e-05,7.913540314649347696e-05,6.268701883453498349e-05,1.041501623569543211e-04,7.053646665969273059e-05,7.163611289897771329e-05,7.208666523060733528e-05,1.025370051812232052e-04,1.899122079423426923e+00,8.742869370409956514e-03,2.571844161772848911e-04,1.321505834996148945e-05,8.102551363008391730e-05,2.052217116611916527e-04,5.030201090126088003e-04,1.795880908793940023e+01
7.532998957461606970e+00,1.406207188399594458e-04,1.002412830783871907e-06,2.502237257884863021e-06,3.657807659957358473e-08,4.069827855943171203e-08,1.796619796475560618e-06,5.976893762010033404e-08,2.784137727864493163e-06,1.327372641511101750e-05,2.564045500303896597e-06,2.105175955751290674e-05,2.876717399658928564e-06,4.186331886234471311e-06,5.181771579926065964e-05,1.713850438441445149e-04,8.235984854050202915e-07,6.293540837354995087e-07,7.021409129381544928e-06,1.444660078969560812e-05,4.236034157699888780e+00,2.209811006732382028e-05,1.234330992712585402e-05,7.677573232437074371e-06,3.127796378175308854e-06,2.148155358397248749e-01,2.112151468036677969e-05,2.833956846439546746e-05,1.196309498981112235e-05,2.422006949777136684e-05,4.026926042739169823e-05,2.773412973279610933e-04,1.275763806900779648e-05,2.012311706987383864e-05,1.947288297136680422e-03,4.221951586681774948e+00,5.617190560678325895e+00,4.790166473076641715e-05,2.349733667840254284e-05,1.072608751979546456e-05,3.243708090577925372e-06,5.103994147799673613e-05,7.013950543529774428e+00
3.521700798255478215e+00,5.298077274085410395e-04,7.273728306121853969e-05,1.368120005967222809e-06,1.543430367371070369e-06,7.790392926835652159e-06,3.030797885475018736e-06,8.435224249827243206e-07,9.493818009817620474e-08,3.371395791092137391e-06,5.193465926774658192e-07,3.415453629383445022e-06,3.204128815378235761e-06,8.569431821157853676e-06,4.418201164570040692e-05,1.675267678984710463e-06,1.208197006618809314e-06,1.878013257085549880e-07,2.753257367187978891e-05,2.466886570470624965e-05,5.301469817116306160e+00,3.307086999517557820e-05,5.461445671503584061e-06,7.815718552272218539e-06,3.661623598399600568e-05,6.225416630401487961e-01,9.598676781183043447e-06,2.048341273854441637e-04,4.865126379491424260e-05,3.123011871812228935e-03,1.207932203872336467e-05,3.344399455890022688e-05,2.507258099455719649e-04,4.018988532863712008e-05,5.850992236691854439e-04,1.282871792207746164e+00,8.052443077477308364e+00,9.134604845963943155e-04,6.649754212931309103e-06,9.466076402916983088e-06,1.549434980542984314e-06,7.737357508144626899e-06,6.063667731106486158e+00
8.360380449687038862e+00,1.569801966847745645e-05,2.940313966287552105e-06,4.803417610484085861e-06,3.593485193813365881e-06,3.803965720812847731e-07,7.860118981195831118e-06,2.759031513708820333e-05,4.385012826908200151e-07,1.307256430229173455e-05,1.008517562453804221e-05,7.716835775860318226e-05,1.327617528816268557e-05,1.242075899387726647e-06,3.400337825241065330e-06,1.488155843540565481e-04,1.340890021875979301e-06,9.608907141958364403e-06,2.634880086143222703e-05,4.586528183175440834e-05,2.750083361952778027e+00,1.840981077072505873e-05,4.045928759623260730e-06,1.648069829310441468e-06,5.548895477810014513e-03,3.369540001273297735e-04,2.282563216369465462e-05,7.737765739254765670e-06,1.182528599842886582e-05,4.520678257838539049e-01,7.069467744419343186e-05,1.538313107281175847e-05,5.863696078741317640e-05,2.752106004782810879e-05,9.234682294955362525e-02,2.173416713665332622e+00,5.491238956985572628e+00,9.442019421984965927e-06,3.097666103463900348e-05,2.452660997748131803e-05,3.696294794063071813e-05,5.655374565876085383e-06,1.630213446816367551e+01
2.193608600950669008e+00,4.996167820281496011e-07,7.233649858884501337e-06,1.378693418917251807e-05,1.014680203936805982e-05,6.689522753875071349e-06,1.346225107999214530e-06,9.214456293292704297e-06,6.215224340820051564e-06,4.387988315734476369e-02,2.866872870181367064e-02,3.092071311730317965e-06,4.370052926763305870e-06,1.701619339264706158e-05,1.489300846088062135e-05,8.009043758714096139e-05,6.974563756214697445e-05,5.523575900294036149e-05,6.221000340158240355e-05,3.292078731801280367e-05,5.955643297941966452e+00,1.274077317352382978e-05,1.378350879237136800e-05,1.010059735940015200e-04,8.322850228003260916e-06,8.946450646198357282e-01,9.493314715827366889e-06,1.580677893743463605e-06,5.876463089097168889e-06,3.517789922774484327e-05,5.476850978228370960e-05,9.351598413188844753e-06,3.669462053447978942e-05,4.002048123851934371e-05,2.305692241728358929e-03,1.728974002979193347e+00,5.443042382382508038e+00,2.692134922230176068e-05,2.773692668981871587e-05,6.224931895974623719e-06,9.806848605972874819e-06,1.068934237623490920e-05,8.910260953040443965e+00
1.516632857956972391e-01,2.292153393614505960e-05,2.216858860797258238e-05,5.228971505509794434e-05,6.897401185088794062e-05,8.439192945208787090e-05,1.953270045856680492e-04,6.063158846711998607e-05,5.036438816137937574e-05,1.025026925653723086e-04,1.494929635387600212e-04,1.881054860446580961e-04,3.641540098763736415e-04,3.444997721926780824e-04,3.729771956028046006e-04,2.948443993218994924e-04,1.287775219105630458e-03,3.190310115170101666e-04,7.589506978165055234e-03,2.642663932115315052e-05,4.717653993290326753e+00,1.838853640028901792e-05,2.055393480836442905e-05,6.378232270234190781e-06,6.655378843282649244e-06,1.413583729618276275e-01,1.607417282716689004e-05,1.076918371525766367e-05,6.669847915842580445e-06,3.037910512034063277e-05,6.423754070766444894e-05,7.658105728084661814e-06,2.210826529894228842e-05,1.379271602238285718e-05,7.881807039526532078e-06,9.175771268061188035e-01,7.639295867563013154e+00,6.835999449455666850e-04,1.608073470480893228e-05,1.512315327932739044e-06,1.448924478067789183e-06,1.033941235321622790e-05,6.247314623626722963e+00
